,Date,Strike,Call,Maturity,Put
0,2014-09-30,1850.0,1373.6,2014-12-19,0.5
1,2014-09-30,1900.0,1323.7,2014-12-19,0.6
2,2014-09-30,1950.0,1273.8,2014-12-19,0.8
3,2014-09-30,2000.0,1223.9,2014-12-19,0.9
4,2014-09-30,2050.0,1174.1,2014-12-19,1.1
5,2014-09-30,2100.0,1124.3,2014-12-19,1.3
6,2014-09-30,2150.0,1074.5,2014-12-19,1.5
7,2014-09-30,2200.0,1024.8,2014-12-19,1.7
8,2014-09-30,2250.0,975.1,2014-12-19,2.1
9,2014-09-30,2300.0,925.4,2014-12-19,2.4
10,2014-09-30,2350.0,875.9,2014-12-19,2.9
11,2014-09-30,2400.0,826.4,2014-12-19,3.4
12,2014-09-30,2450.0,777.0,2014-12-19,4.0
13,2014-09-30,2500.0,727.8,2014-12-19,4.8
14,2014-09-30,2550.0,678.7,2014-12-19,5.7
15,2014-09-30,2600.0,629.9,2014-12-19,6.9
16,2014-09-30,2625.0,605.6,2014-12-19,7.6
17,2014-09-30,2650.0,581.3,2014-12-19,8.3
18,2014-09-30,2675.0,557.2,2014-12-19,9.2
19,2014-09-30,2700.0,533.2,2014-12-19,10.1
20,2014-09-30,2725.0,509.2,2014-12-19,11.2
21,2014-09-30,2750.0,485.4,2014-12-19,12.4
22,2014-09-30,2775.0,461.8,2014-12-19,13.8
23,2014-09-30,2800.0,438.3,2014-12-19,15.3
24,2014-09-30,2825.0,415.0,2014-12-19,17.0
25,2014-09-30,2850.0,391.9,2014-12-19,18.9
26,2014-09-30,2875.0,369.0,2014-12-19,21.0
27,2014-09-30,2900.0,346.4,2014-12-19,23.4
28,2014-09-30,2925.0,324.1,2014-12-19,26.0
29,2014-09-30,2950.0,302.0,2014-12-19,29.0
30,2014-09-30,2975.0,280.4,2014-12-19,32.4
31,2014-09-30,3000.0,259.2,2014-12-19,36.2
32,2014-09-30,3025.0,238.4,2014-12-19,40.4
33,2014-09-30,3050.0,218.1,2014-12-19,45.1
34,2014-09-30,3075.0,198.5,2014-12-19,50.5
35,2014-09-30,3100.0,179.4,2014-12-19,56.4
36,2014-09-30,3125.0,161.1,2014-12-19,63.1
37,2014-09-30,3150.0,143.5,2014-12-19,70.5
38,2014-09-30,3175.0,126.8,2014-12-19,78.8
39,2014-09-30,3200.0,110.9,2014-12-19,87.9
40,2014-09-30,3225.0,96.1,2014-12-19,98.1
41,2014-09-30,3250.0,82.3,2014-12-19,109.3
42,2014-09-30,3275.0,69.6,2014-12-19,121.6
43,2014-09-30,3300.0,58.1,2014-12-19,135.1
44,2014-09-30,3325.0,47.8,2014-12-19,149.8
45,2014-09-30,3350.0,38.8,2014-12-19,165.8
46,2014-09-30,3375.0,31.0,2014-12-19,183.0
47,2014-09-30,3400.0,24.4,2014-12-19,201.4
48,2014-09-30,3425.0,18.9,2014-12-19,221.0
49,2014-09-30,3450.0,14.5,2014-12-19,241.5
50,2014-09-30,3475.0,10.9,2014-12-19,262.9
51,2014-09-30,3500.0,8.0,2014-12-19,285.1
52,2014-09-30,3525.0,5.9,2014-12-19,307.9
53,2014-09-30,3550.0,4.3,2014-12-19,331.3
54,2014-09-30,3575.0,3.1,2014-12-19,355.1
55,2014-09-30,3600.0,2.2,2014-12-19,379.2
56,2014-09-30,3625.0,1.6,2014-12-19,403.6
57,2014-09-30,3650.0,1.1,2014-12-19,428.1
58,2014-09-30,3700.0,0.6,2014-12-19,477.6
59,2014-09-30,1000.0,2128.6,2015-12-18,0.7
60,2014-09-30,1100.0,2029.1,2015-12-18,1.1
61,2014-09-30,1200.0,1929.6,2015-12-18,1.7
62,2014-09-30,1300.0,1830.4,2015-12-18,2.5
63,2014-09-30,1400.0,1731.4,2015-12-18,3.4
64,2014-09-30,1500.0,1632.7,2015-12-18,4.7
65,2014-09-30,1600.0,1534.4,2015-12-18,6.4
66,2014-09-30,1700.0,1436.6,2015-12-18,8.6
67,2014-09-30,1750.0,1388.0,2015-12-18,9.9
68,2014-09-30,1800.0,1339.5,2015-12-18,11.5
69,2014-09-30,1850.0,1291.2,2015-12-18,13.2
70,2014-09-30,1900.0,1243.2,2015-12-18,15.1
71,2014-09-30,1950.0,1195.4,2015-12-18,17.3
72,2014-09-30,2000.0,1147.8,2015-12-18,19.7
73,2014-09-30,2050.0,1100.6,2015-12-18,22.5
